steps,minutes,mean_score,median_score,max_score,mean_level,max_level,levels_cleared,ghosts_per_game,unfinished
57750000,2.21,26164.0,24880.0,37230,5.6,8,46,27.1,0
58000000,4.84,36852.0,32755.0,72650,7.3,14,63,38.7,0
58250000,7.33,29539.0,28590.0,44590,6.2,9,52,32.7,0
58500000,9.83,31718.0,32480.0,40450,6.2,8,52,35.7,0
58750000,12.33,33573.0,31595.0,64280,6.8,12,58,36.8,0
59000000,14.79,29310.0,27580.0,50880,6.0,10,50,32.3,0
59250000,17.24,26265.0,24095.0,50150,5.5,11,45,28.1,0
59500000,19.67,32027.0,27245.0,51110,6.2,10,52,35.0,0
59750000,22.15,31698.0,30840.0,54260,6.3,10,53,34.7,0
60000000,24.6,36786.0,36530.0,51270,7.4,10,64,38.7,0
60250000,27.14,34556.0,34425.0,48630,6.7,9,57,37.5,0
60500000,29.64,26765.0,25170.0,37620,5.6,8,46,28.7,0
60750000,32.2,28646.0,27130.0,48760,5.7,9,47,31.4,0
61000000,34.72,28991.0,29350.0,36680,6.3,7,53,30.8,0
61250000,37.25,26219.0,23810.0,44030,5.6,9,46,28.0,0
61500000,39.73,30363.0,30975.0,38430,6.2,8,52,33.2,0
61750000,42.22,27788.0,28285.0,35190,5.6,7,46,31.1,0
62000000,44.73,32344.0,31590.0,44010,6.6,9,56,35.2,0
62250000,47.24,33411.0,32165.0,57320,7.1,11,61,36.7,0
62500000,49.73,30374.0,31125.0,41030,6.5,9,55,33.9,0
62750000,52.25,34200.0,32490.0,60690,7.0,12,60,36.9,0
63000000,54.8,35506.0,33055.0,59590,7.4,12,64,38.0,0
63250000,57.46,27429.0,26715.0,35460,6.1,8,51,28.8,0
63500000,59.96,27050.0,28420.0,33500,5.9,7,49,28.4,0
63750000,62.41,31627.0,27415.0,56820,6.6,11,56,33.9,0
64000000,64.89,29109.0,25555.0,61970,6.3,12,53,29.7,0
64250000,67.34,31146.0,27690.0,47580,6.6,10,56,32.6,0
64500000,69.89,31179.0,28615.0,46950,6.5,10,55,33.2,0
64750000,72.39,26622.0,26005.0,47050,5.5,9,45,29.4,0
65000000,74.91,34694.0,36090.0,61900,7.4,13,64,36.2,0
65250000,77.82,32988.0,32530.0,59620,6.7,11,57,35.7,0
65500000,80.34,42500.0,45340.0,65400,8.5,12,75,44.5,0
65750000,82.81,29895.0,29855.0,40090,6.3,9,53,32.1,0
66000000,85.27,26137.0,26395.0,36950,5.8,8,48,27.8,0
66250000,87.83,35639.0,33970.0,64780,7.0,12,60,38.6,0
66500000,90.38,31600.0,28670.0,74350,6.1,13,51,33.0,0
66750000,92.98,39133.0,33070.0,76110,8.1,15,71,39.9,0
67000000,95.53,37125.0,32595.0,59490,7.4,11,64,40.0,0
67250000,98.08,34841.0,32570.0,66630,6.8,12,58,37.8,0
67500000,100.6,38433.0,40040.0,62520,7.4,11,64,41.6,0
