steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
57587184,3589827,0.5,2906,0.0718,0.28566,20.541,44,17052.7,4.0
57634528,3592786,1.0,1578,0.0718,0.26873,20.441,73,17114.1,4.1
57684496,3595909,1.5,1665,0.0718,0.26826,20.378,104,17333.4,4.11
57735040,3599068,2.0,1685,0.0718,0.27555,20.199,136,17360.7,4.18
57779520,3601848,2.5,1483,0.0718,0.28193,20.195,166,16443.8,3.98
57829760,3604988,3.0,1674,0.0718,0.2712,20.189,193,16893.8,4.13
57880608,3608166,3.5,1694,0.0718,0.27971,20.299,224,17637.1,4.34
57929888,3611246,4.0,1642,0.0718,0.28027,20.172,258,17191.7,4.19
57976256,3614144,4.5,1546,0.0718,0.28936,20.25,288,16887.4,4.02
58016384,3616652,5.0,1337,0.0718,0.28596,20.226,310,16783.2,3.94
58068112,3619885,5.5,1724,0.0718,0.28488,20.314,342,17066.6,3.97
58120464,3623157,6.0,1745,0.0718,0.28649,20.282,377,17870.2,4.14
58171552,3626350,6.5,1703,0.0718,0.28669,20.101,407,17064.4,3.93
58222448,3629531,7.0,1696,0.0718,0.29354,20.302,436,17152.3,4.0
58267216,3632329,7.5,1492,0.0718,0.29667,20.08,465,17217.5,4.01
58317456,3635469,8.0,1674,0.0718,0.29461,20.365,497,17527.0,4.15
58368976,3638689,8.5,1717,0.0718,0.2947,20.324,526,17510.5,4.2
58420672,3641920,9.0,1723,0.0718,0.28336,20.575,557,16851.0,4.05
58473392,3645215,9.5,1757,0.0718,0.28575,20.157,589,18284.8,4.35
58518272,3648020,10.0,1496,0.0718,0.28704,20.432,610,18531.4,4.36
58569904,3651247,10.5,1721,0.0718,0.29118,20.355,643,18249.0,4.36
58621520,3654473,11.0,1720,0.0718,0.2843,20.556,677,17800.0,4.22
58673536,3657724,11.5,1734,0.0718,0.28072,20.464,707,17211.6,4.09
58724848,3660931,12.0,1710,0.0718,0.28946,20.256,738,17569.1,4.09
58767504,3663597,12.5,1421,0.0718,0.2891,20.573,765,17579.4,4.11
58819616,3666854,13.0,1737,0.0718,0.29237,20.372,792,18514.1,4.33
58873136,3670199,13.5,1784,0.0718,0.29827,20.288,824,18686.2,4.41
58925664,3673482,14.0,1751,0.0718,0.29171,20.174,852,18451.1,4.35
58978320,3676773,14.5,1755,0.0718,0.29574,20.249,883,18325.4,4.32
59022576,3679539,15.0,1475,0.0718,0.30132,20.535,909,18920.3,4.36
59075264,3682832,15.5,1756,0.0718,0.29439,20.254,940,18354.2,4.25
59128592,3686165,16.0,1778,0.0718,0.2935,20.237,972,18035.9,4.2
59180048,3689381,16.5,1715,0.0718,0.29706,20.346,1002,17920.7,4.3
59232704,3692672,17.0,1755,0.0718,0.29415,20.501,1035,17219.7,4.17
59277856,3695494,17.5,1505,0.0718,0.29231,20.276,1064,17575.0,4.25
59331632,3698855,18.0,1792,0.0718,0.29297,20.38,1098,17006.4,4.07
