steps,minutes,mean_score,median_score,max_score,mean_level,max_level,levels_cleared,ghosts_per_game,unfinished
65250000,2.09,28484.0,27550.0,35940,6.3,8,53,29.8,0
65500000,4.4,31916.0,30805.0,56920,6.4,10,54,32.9,0
65750000,6.68,29914.0,27040.0,43880,6.1,9,51,31.9,0
66000000,9.0,41971.0,48210.0,60430,8.3,12,73,43.5,0
66250000,11.28,38201.0,40935.0,55050,7.6,11,66,40.3,0
66500000,13.51,31385.0,28455.0,46410,6.3,9,53,35.0,0
66750000,15.8,33850.0,32925.0,59980,6.7,12,57,34.6,0
67000000,18.07,34538.0,32815.0,58110,6.9,11,59,36.7,0
67250000,20.31,30658.0,26140.0,45380,6.3,9,53,33.9,0
67500000,22.53,26008.0,26405.0,41110,5.5,8,45,27.1,0
67750000,24.83,26365.0,25000.0,43350,5.7,9,47,27.9,0
68000000,27.11,38199.0,42940.0,47870,7.8,10,68,40.5,0
68250000,29.4,34855.0,34715.0,45190,7.0,9,60,37.5,0
68500000,31.72,28339.0,28910.0,37840,5.4,7,44,32.5,0
68750000,34.05,40823.0,41580.0,52380,8.6,11,76,41.8,0
69000000,36.36,33399.0,33330.0,43600,6.5,9,55,36.6,0
69250000,38.71,38566.0,36615.0,72040,7.7,14,67,39.9,0
69500000,41.02,38115.0,40400.0,48610,7.4,9,64,41.7,0
69750000,43.29,34137.0,35305.0,48360,6.6,9,56,37.3,0
70000000,45.58,38126.0,39650.0,54460,7.7,12,67,41.8,0
70250000,48.15,36484.0,36070.0,45490,7.6,9,66,38.5,0
70500000,50.49,39953.0,40285.0,63560,8.0,12,70,40.6,0
70750000,52.81,27093.0,24215.0,40550,5.4,8,44,30.0,0
71000000,55.12,43187.0,44260.0,60520,8.5,12,75,44.2,0
71250000,57.37,34527.0,28920.0,69220,6.7,13,57,36.6,0
71500000,59.63,39623.0,44490.0,53870,7.9,10,69,40.8,0
71750000,61.91,43205.0,40600.0,67510,8.6,13,76,44.2,0
72000000,64.21,35283.0,37285.0,61820,7.1,11,61,37.2,0
72250000,66.43,31552.0,33250.0,44530,6.5,9,55,33.9,0
72500000,68.67,40653.0,43105.0,51330,8.4,10,74,41.9,0
72750000,70.99,43806.0,44065.0,65460,8.2,12,72,46.5,0
73000000,73.29,40718.0,37950.0,60480,8.1,12,71,43.6,0
73250000,75.56,36315.0,35030.0,62880,7.4,12,64,38.5,0
73500000,77.83,30454.0,29555.0,38330,6.3,9,53,33.0,0
73750000,80.09,31216.0,27995.0,55220,6.6,11,56,32.8,0
74000000,82.38,37175.0,37025.0,47790,7.5,9,65,39.1,0
74250000,84.66,40210.0,29945.0,84330,8.1,16,71,41.5,0
74500000,86.89,35872.0,37645.0,51670,7.2,10,62,38.0,0
74750000,89.1,27326.0,25760.0,38350,6.0,8,50,27.9,0
75000000,91.37,37463.0,38200.0,56160,7.6,10,66,40.0,0
