steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
65090304,4055648,0.5,3008,0.0718,0.28213,20.779,43,17276.5,4.14
65139360,4058714,1.0,1635,0.0718,0.27326,20.57,71,18273.8,4.31
65192016,4062005,1.5,1755,0.0718,0.2725,20.773,106,18465.1,4.35
65245968,4065377,2.0,1798,0.0718,0.27267,20.845,141,18060.2,4.28
65296640,4068544,2.5,1689,0.0718,0.27776,20.59,170,16859.6,4.04
65351456,4071970,3.0,1827,0.0718,0.27879,20.824,200,17313.0,4.15
65406768,4075427,3.5,1844,0.0718,0.27125,20.772,232,18610.4,4.38
65463088,4078947,4.0,1877,0.0718,0.27221,20.417,259,19761.4,4.64
65510704,4081923,4.5,1587,0.0718,0.27951,20.547,289,19296.9,4.53
65568000,4085504,5.0,1910,0.0718,0.27529,20.325,322,19143.4,4.49
65624512,4089036,5.5,1884,0.0718,0.27612,20.281,354,18360.4,4.38
65680528,4092537,6.0,1867,0.0718,0.27647,20.707,389,18756.2,4.42
65737344,4096088,6.5,1893,0.0718,0.28169,20.358,421,18105.1,4.28
65786304,4099148,7.0,1632,0.0718,0.28094,20.73,452,18055.0,4.22
65841120,4102574,7.5,1827,0.0718,0.28307,20.497,480,17778.1,4.11
65897920,4106124,8.0,1893,0.0718,0.27805,20.678,514,19289.2,4.42
65954608,4109667,8.5,1889,0.0718,0.28028,20.432,546,19182.0,4.37
66000656,4112545,9.0,1535,0.0718,0.28344,20.688,576,18972.9,4.41
66054576,4115915,9.5,1797,0.0718,0.27888,20.786,605,18734.4,4.36
66111216,4119455,10.0,1888,0.0718,0.28106,20.337,632,19997.5,4.61
66169312,4123086,10.5,1936,0.0718,0.28448,20.396,665,19276.8,4.49
66227040,4126694,11.0,1924,0.0718,0.28512,20.601,700,20021.6,4.55
66275712,4129736,11.5,1622,0.0718,0.28413,20.519,727,19213.3,4.4
66332208,4133267,12.0,1883,0.0718,0.28129,20.529,762,19486.7,4.36
66391424,4136968,12.5,1973,0.0718,0.28612,20.665,793,19551.9,4.47
66448160,4140514,13.0,1891,0.0718,0.28382,20.416,824,19166.2,4.38
66500016,4143755,13.51,1696,0.0718,0.28952,20.648,854,19435.7,4.5
66557248,4147332,14.01,1907,0.0718,0.281,20.654,887,19316.5,4.52
66612976,4150815,14.51,1857,0.0718,0.28091,20.523,917,20220.2,4.69
66668512,4154286,15.01,1851,0.0718,0.28481,20.688,946,20415.5,4.73
66726256,4157895,15.51,1924,0.0718,0.28455,20.489,983,19880.6,4.54
66774944,4160938,16.01,1623,0.0718,0.28025,20.684,1008,18905.2,4.34
66832368,4164527,16.51,1914,0.0718,0.27913,20.557,1043,18249.6,4.13
66887552,4167976,17.01,1839,0.0718,0.28105,20.363,1076,18207.6,4.14
66944096,4171510,17.51,1884,0.0718,0.28203,20.554,1112,18414.2,4.15
67000016,4175005,18.07,1660,0.0718,0.2832,20.505,1144,18122.6,4.13
67058384,4178653,18.57,1945,0.0718,0.2864,20.557,1177,19126.8,4.3
67115888,4182247,19.07,1917,0.0718,0.28665,20.416,1207,19477.0,4.37
67171840,4185744,19.57,1865,0.0718,0.2815,20.541,1241,20211.5,4.53
67230272,4189396,20.07,1947,0.0718,0.28182,20.679,1273,19296.4,4.38
67281664,4192608,20.57,1713,0.0718,0.28011,20.679,1303,19814.9,4.47
67339104,4196198,21.07,1915,0.0718,0.27874,20.483,1336,19236.4,4.39
67396048,4199757,21.57,1898,0.0718,0.28103,20.897,1369,18786.0,4.31
67453488,4203347,22.07,1914,0.0718,0.28004,20.632,1406,18995.1,4.35
67504688,4206547,22.57,1707,0.0718,0.2859,20.727,1434,19045.9,4.33
67560384,4210028,23.07,1856,0.0718,0.28299,20.89,1468,19201.0,4.42
67615664,4213483,23.57,1842,0.0718,0.28554,20.598,1500,18061.7,4.26
67671808,4216992,24.07,1871,0.0718,0.2851,20.541,1535,18191.5,4.36
67728976,4220565,24.57,1905,0.0718,0.28673,20.627,1565,18196.2,4.31
67776800,4223554,25.08,1594,0.0718,0.28766,20.616,1591,18678.0,4.42
67834112,4227136,25.58,1910,0.0718,0.28226,20.883,1624,19511.2,4.57
67890800,4230679,26.08,1889,0.0718,0.28641,20.827,1659,19025.4,4.45
67947680,4234234,26.58,1896,0.0718,0.28434,20.573,1688,18664.2,4.35
68000016,4237505,27.11,1634,0.0718,0.28616,20.664,1717,18709.3,4.36
68058912,4241186,27.61,1962,0.0718,0.28053,20.624,1753,18928.5,4.44
68115456,4244720,28.11,1885,0.0718,0.28691,20.824,1782,19814.0,4.65
68171072,4248196,28.61,1854,0.0718,0.29204,20.908,1815,20067.5,4.62
68228048,4251757,29.11,1899,0.0718,0.28651,20.894,1847,19771.1,4.6
68273536,4254600,29.61,1516,0.0718,0.28245,20.867,1871,20093.8,4.65
68328976,4258065,30.11,1848,0.0718,0.28521,20.666,1904,19483.9,4.52
68385024,4261568,30.61,1868,0.0718,0.28582,20.572,1935,18847.4,4.42
68440288,4265022,31.11,1842,0.0718,0.28567,20.653,1963,19441.2,4.48
68494224,4268393,31.61,1798,0.0718,0.2867,20.739,1997,19734.9,4.64
68543728,4271487,32.11,1650,0.0718,0.29456,20.707,2022,19644.9,4.62
68599472,4274971,32.61,1858,0.0718,0.28927,20.705,2053,19006.5,4.53
68654784,4278428,33.11,1844,0.0718,0.28303,21.04,2083,18959.2,4.53
68710560,4281914,33.61,1859,0.0718,0.28517,20.579,2118,18793.8,4.49
68757008,4284817,34.11,1548,0.0718,0.28331,20.622,2139,19435.6,4.58
68813152,4288326,34.61,1871,0.0718,0.28723,20.54,2169,19517.7,4.55
68867904,4291748,35.11,1825,0.0718,0.27853,20.725,2200,19843.1,4.62
68923312,4295211,35.61,1847,0.0718,0.27753,20.47,2229,21116.1,4.8
68979296,4298710,36.11,1866,0.0718,0.27981,20.519,2261,20217.6,4.61
69027792,4301741,36.61,1617,0.0718,0.28096,20.612,2291,20161.0,4.54
69083008,4305192,37.11,1840,0.0718,0.2806,20.679,2322,19470.0,4.51
69138592,4308666,37.61,1852,0.0718,0.27913,20.736,2350,19687.0,4.51
