steps,updates,minutes,decisions_per_s,eps_mean,loss,q_mean,games,practice_score,practice_level
89344,2460,0.5,2978,0.6683,0.06403,0.244,225,1163.7,1.0
138192,5513,1.0,1628,0.487,0.09965,0.876,325,1906.6,1.0
187168,8574,1.5,1632,0.3051,0.12542,1.404,414,2688.9,1.03
231296,11332,2.0,1471,0.1413,0.13275,1.67,473,3098.9,1.1
278512,14283,2.5,1574,0.0718,0.14486,2.154,530,3824.8,1.27
327872,17368,3.0,1645,0.0718,0.15932,2.631,586,4504.4,1.46
378016,20502,3.5,1671,0.0718,0.17247,3.149,640,5107.0,1.64
426640,23541,4.0,1620,0.0718,0.1832,3.479,688,5207.5,1.65
475216,26577,4.5,1619,0.0718,0.18871,3.581,737,5184.5,1.59
521648,29479,5.0,1547,0.0718,0.19028,3.672,781,5262.0,1.55
564736,32172,5.5,1436,0.0718,0.19646,4.074,816,5348.7,1.56
614592,35288,6.0,1662,0.0718,0.20614,4.511,858,5880.4,1.73
663328,38334,6.5,1624,0.0718,0.2043,4.447,896,6221.3,1.76
712960,41436,7.0,1654,0.0718,0.21067,5.372,946,6387.4,1.74
758752,44298,7.5,1526,0.0718,0.21903,5.846,980,6880.6,1.88
808112,47383,8.0,1645,0.0718,0.22863,6.106,1015,7131.0,1.96
859152,50573,8.5,1701,0.0718,0.22493,6.009,1055,7708.5,2.11
908560,53661,9.0,1647,0.0718,0.22212,6.305,1092,7801.5,2.16
958208,56764,9.5,1655,0.0718,0.21801,6.64,1133,7937.0,2.21
1004448,59654,10.0,1541,0.0718,0.21701,5.889,1171,7682.1,2.16
1054016,62752,10.5,1652,0.0718,0.21183,6.753,1208,7641.8,2.07
1102816,65802,11.0,1626,0.0718,0.19488,6.776,1246,7789.6,2.11
1151072,68818,11.5,1608,0.0718,0.18281,6.329,1287,7580.4,2.12
1200496,71907,12.0,1647,0.0718,0.16985,7.23,1326,7209.1,2.07
1224736,73422,12.5,808,0.0718,0.16704,8.482,1348,7040.1,2.03
1265968,75999,13.0,1374,0.0718,0.17008,8.597,1381,7658.9,2.25
1313888,78994,13.5,1597,0.0718,0.16692,8.898,1417,8085.9,2.49
1362592,82038,14.0,1623,0.0718,0.16815,8.545,1450,8126.5,2.62
1409552,84973,14.5,1564,0.0718,0.16926,8.805,1491,8288.5,2.7
1454112,87758,15.0,1485,0.0718,0.16998,9.053,1522,8328.6,2.69
1499776,90612,15.5,1522,0.0718,0.17301,8.03,1551,8686.7,2.75
1540368,93149,16.0,1353,0.0718,0.1728,8.641,1582,9020.8,2.73
1580832,95678,16.5,1349,0.0718,0.17303,8.827,1613,9265.0,2.71
1629648,98729,17.0,1627,0.0718,0.17865,8.692,1649,9418.2,2.57
1676224,101640,17.5,1552,0.0718,0.1737,9.217,1688,9279.5,2.45
1724352,104648,18.0,1604,0.0718,0.17355,9.214,1726,9387.4,2.42
1754240,106516,18.5,996,0.0718,0.17885,9.924,1748,9699.4,2.44
1766704,107295,19.0,415,0.0718,0.1768,9.998,1756,9789.6,2.48
1781584,108225,19.5,496,0.0718,0.1763,9.382,1767,10124.0,2.58
1795184,109075,20.0,453,0.0718,0.1779,9.939,1779,10307.4,2.63
1808400,109901,20.51,436,0.0718,0.18588,10.258,1788,10197.5,2.61
1822416,110777,21.01,467,0.0718,0.18263,9.027,1796,10337.4,2.63
1835408,111589,21.51,433,0.0718,0.19321,9.432,1803,10456.1,2.67
1848560,112411,22.01,438,0.0718,0.18043,9.798,1812,10827.8,2.77
1868720,113671,22.51,672,0.0718,0.17759,10.168,1828,10887.4,2.8
1915616,116602,23.01,1563,0.0718,0.1847,10.087,1861,10437.6,2.77
1963024,119565,23.51,1580,0.0718,0.18732,9.993,1892,11078.0,2.91
2001760,121986,24.01,1291,0.0718,0.19306,10.515,1921,11520.6,3.0
2014560,122786,24.51,427,0.0718,0.19036,9.342,1924,11399.8,2.97
2043376,124587,25.01,960,0.0718,0.19427,11.058,1947,11512.6,2.96
