step,episode,return,score,won,length,epsilon,loss
11,1,-491.0,-480,0,11,1.000,nan
23,2,-502.0,-490,0,12,0.999,nan
35,3,-502.0,-490,0,12,0.999,nan
48,4,-463.0,-450,0,13,0.998,nan
65,5,-477.0,-460,0,17,0.998,nan
83,6,-508.0,-490,0,18,0.997,nan
101,7,-458.0,-440,0,18,0.997,nan
113,8,-502.0,-490,0,12,0.996,nan
123,9,-490.0,-480,0,10,0.996,nan
134,10,-501.0,-490,0,11,0.996,nan
145,11,-491.0,-480,0,11,0.995,nan
155,12,-480.0,-470,0,10,0.995,nan
191,13,-526.0,-490,0,36,0.994,nan
209,14,-508.0,-490,0,18,0.993,nan
257,15,-378.0,-330,0,48,0.992,nan
266,16,-479.0,-470,0,9,0.992,nan
278,17,-512.0,-500,0,12,0.991,nan
290,18,-502.0,-490,0,12,0.991,nan
301,19,-501.0,-490,0,11,0.990,nan
312,20,-481.0,-470,0,11,0.990,nan
323,21,-481.0,-470,0,11,0.990,nan
349,22,-506.0,-480,0,26,0.989,nan
360,23,-501.0,-490,0,11,0.989,nan
377,24,-497.0,-480,0,17,0.988,nan
394,25,-467.0,-450,0,17,0.988,nan
405,26,-501.0,-490,0,11,0.987,nan
415,27,-480.0,-470,0,10,0.987,nan
425,28,-480.0,-470,0,10,0.987,nan
437,29,-462.0,-450,0,12,0.986,nan
448,30,-501.0,-490,0,11,0.986,nan
459,31,-481.0,-470,0,11,0.985,nan
469,32,-490.0,-480,0,10,0.985,nan
481,33,-502.0,-490,0,12,0.985,nan
493,34,-502.0,-490,0,12,0.984,nan
505,35,-502.0,-490,0,12,0.984,nan
517,36,-502.0,-490,0,12,0.984,nan
543,37,-506.0,-480,0,26,0.983,nan
554,38,-491.0,-480,0,11,0.982,nan
564,39,-480.0,-470,0,10,0.982,nan
596,40,-502.0,-470,0,32,0.981,nan
605,41,-479.0,-470,0,9,0.981,nan
616,42,-501.0,-490,0,11,0.980,nan
640,43,-494.0,-470,0,24,0.980,nan
650,44,-470.0,-460,0,10,0.979,nan
661,45,-491.0,-480,0,11,0.979,nan
673,46,-492.0,-480,0,12,0.979,nan
682,47,-469.0,-460,0,9,0.978,nan
691,48,-469.0,-460,0,9,0.978,nan
702,49,-491.0,-480,0,11,0.978,nan
720,50,-508.0,-490,0,18,0.977,nan
743,51,-453.0,-430,0,23,0.976,nan
754,52,-501.0,-490,0,11,0.976,nan
772,53,-498.0,-480,0,18,0.976,nan
783,54,-501.0,-490,0,11,0.975,nan
795,55,-502.0,-490,0,12,0.975,nan
807,56,-502.0,-490,0,12,0.974,nan
819,57,-502.0,-490,0,12,0.974,nan
834,58,-475.0,-460,0,15,0.974,nan
843,59,-469.0,-460,0,9,0.973,nan
855,60,-502.0,-490,0,12,0.973,nan
870,61,-485.0,-470,0,15,0.972,nan
893,62,-473.0,-450,0,23,0.972,nan
903,63,-490.0,-480,0,10,0.971,nan
921,64,-508.0,-490,0,18,0.971,nan
942,65,-511.0,-490,0,21,0.970,nan
963,66,-491.0,-470,0,21,0.970,nan
975,67,-502.0,-490,0,12,0.969,nan
1023,68,-468.0,-420,0,48,0.968,nan
1046,69,-473.0,-450,0,23,0.967,nan
1055,70,-459.0,-450,0,9,0.967,nan
1066,71,-501.0,-490,0,11,0.966,nan
1078,72,-502.0,-490,0,12,0.966,nan
1093,73,-475.0,-460,0,15,0.965,nan
1102,74,-479.0,-470,0,9,0.965,nan
1112,75,-480.0,-470,0,10,0.965,nan
1123,76,-501.0,-490,0,11,0.964,nan
1133,77,-490.0,-480,0,10,0.964,nan
1144,78,-481.0,-470,0,11,0.964,nan
1156,79,-502.0,-490,0,12,0.963,nan
1164,80,-468.0,-460,0,8,0.963,nan
1176,81,-502.0,-490,0,12,0.963,nan
1222,82,-436.0,-390,0,46,0.961,nan
1232,83,-490.0,-480,0,10,0.961,nan
1245,84,-463.0,-450,0,13,0.961,nan
1255,85,-490.0,-480,0,10,0.960,nan
1267,86,-462.0,-450,0,12,0.960,nan
1279,87,-502.0,-490,0,12,0.959,nan
1296,88,-497.0,-480,0,17,0.959,nan
1316,89,-500.0,-480,0,20,0.958,nan
1328,90,-502.0,-490,0,12,0.958,nan
1340,91,-492.0,-480,0,12,0.958,nan
1351,92,-501.0,-490,0,11,0.957,nan
1363,93,-502.0,-490,0,12,0.957,nan
1374,94,-501.0,-490,0,11,0.956,nan
1385,95,-501.0,-490,0,11,0.956,nan
1409,96,-494.0,-470,0,24,0.955,nan
1435,97,-516.0,-490,0,26,0.955,nan
1446,98,-501.0,-490,0,11,0.954,nan
1462,99,-436.0,-420,0,16,0.954,nan
1476,100,-444.0,-430,0,14,0.953,nan
1485,101,-479.0,-470,0,9,0.953,nan
1496,102,-491.0,-480,0,11,0.953,nan
1507,103,-491.0,-480,0,11,0.952,nan
1518,104,-481.0,-470,0,11,0.952,nan
1528,105,-490.0,-480,0,10,0.952,nan
1540,106,-502.0,-490,0,12,0.951,nan
1552,107,-502.0,-490,0,12,0.951,nan
1562,108,-490.0,-480,0,10,0.951,nan
1573,109,-491.0,-480,0,11,0.950,nan
1595,110,-502.0,-480,0,22,0.949,nan
1612,111,-497.0,-480,0,17,0.949,nan
1623,112,-481.0,-470,0,11,0.949,nan
1645,113,-512.0,-490,0,22,0.948,nan
1662,114,-457.0,-440,0,17,0.947,nan
1681,115,-469.0,-450,0,19,0.947,nan
1699,116,-478.0,-460,0,18,0.946,nan
1710,117,-491.0,-480,0,11,0.946,nan
1722,118,-502.0,-490,0,12,0.945,nan
1740,119,-468.0,-450,0,18,0.945,nan
1752,120,-502.0,-490,0,12,0.945,nan
1763,121,-481.0,-470,0,11,0.944,nan
1775,122,-502.0,-490,0,12,0.944,nan
1786,123,-481.0,-470,0,11,0.943,nan
1798,124,-502.0,-490,0,12,0.943,nan
1810,125,-502.0,-490,0,12,0.943,nan
1819,126,-479.0,-470,0,9,0.942,nan
1832,127,-453.0,-440,0,13,0.942,nan
1843,128,-491.0,-480,0,11,0.942,nan
1855,129,-502.0,-490,0,12,0.941,nan
1864,130,-479.0,-470,0,9,0.941,nan
1876,131,-492.0,-480,0,12,0.941,nan
1887,132,-501.0,-490,0,11,0.940,nan
1897,133,-480.0,-470,0,10,0.940,nan
1906,134,-459.0,-450,0,9,0.940,nan
1917,135,-501.0,-490,0,11,0.939,nan
1928,136,-501.0,-490,0,11,0.939,nan
1939,137,-501.0,-490,0,11,0.939,nan
1948,138,-479.0,-470,0,9,0.938,nan
1960,139,-502.0,-490,0,12,0.938,nan
1972,140,-502.0,-490,0,12,0.938,nan
1981,141,-479.0,-470,0,9,0.937,nan
2007,142,-496.0,-470,0,26,0.936,0.28220
2018,143,-491.0,-480,0,11,0.936,0.56090
2031,144,-453.0,-440,0,13,0.936,0.19770
2043,145,-502.0,-490,0,12,0.935,0.18717
2054,146,-491.0,-480,0,11,0.935,0.23272
2073,147,-489.0,-470,0,19,0.934,0.33414
2085,148,-502.0,-490,0,12,0.934,0.32182
2095,149,-490.0,-480,0,10,0.934,0.41641
2106,150,-501.0,-490,0,11,0.933,0.32233
2129,151,-493.0,-470,0,23,0.933,0.32712
2147,152,-518.0,-500,0,18,0.932,0.17525
2159,153,-502.0,-490,0,12,0.932,0.32732
2171,154,-462.0,-450,0,12,0.931,0.46485
2193,155,-502.0,-480,0,22,0.931,0.32718
2204,156,-481.0,-470,0,11,0.930,0.28108
2216,157,-512.0,-500,0,12,0.930,0.41694
2227,158,-491.0,-480,0,11,0.929,0.28226
2243,159,-496.0,-480,0,16,0.929,0.21268
2260,160,-507.0,-490,0,17,0.928,0.33639
2268,161,-468.0,-460,0,8,0.928,0.07290
2279,162,-491.0,-480,0,11,0.928,0.34758
2300,163,-491.0,-470,0,21,0.927,0.21133
2312,164,-502.0,-490,0,12,0.927,0.37529
2322,165,-490.0,-480,0,10,0.926,0.35082
2335,166,-463.0,-450,0,13,0.926,0.41617
2347,167,-502.0,-490,0,12,0.926,0.41808
2368,168,-511.0,-490,0,21,0.925,0.25738
2380,169,-502.0,-490,0,12,0.925,0.00454
2392,170,-492.0,-480,0,12,0.924,0.14269
2401,171,-479.0,-470,0,9,0.924,0.28148
2413,172,-502.0,-490,0,12,0.924,0.09386
2425,173,-502.0,-490,0,12,0.923,0.60489
2436,174,-481.0,-470,0,11,0.923,0.37672
2447,175,-501.0,-490,0,11,0.923,0.21066
2471,176,-474.0,-450,0,24,0.922,0.14176
2480,177,-479.0,-470,0,9,0.921,0.51028
2503,178,-453.0,-430,0,23,0.921,0.33550
2514,179,-491.0,-480,0,11,0.920,0.18696
2525,180,-491.0,-480,0,11,0.920,0.37202
2544,181,-409.0,-390,0,19,0.919,0.19799
2555,182,-501.0,-490,0,11,0.919,0.21248
2568,183,-453.0,-440,0,13,0.919,0.28301
2586,184,-488.0,-470,0,18,0.918,0.24488
2595,185,-469.0,-460,0,9,0.918,0.20812
2607,186,-472.0,-460,0,12,0.917,0.18555
2618,187,-481.0,-470,0,11,0.917,0.04795
2629,188,-501.0,-490,0,11,0.917,0.64808
2638,189,-469.0,-460,0,9,0.916,0.34928
2648,190,-480.0,-470,0,10,0.916,0.31976
2657,191,-469.0,-460,0,9,0.916,0.00358
2669,192,-502.0,-490,0,12,0.915,0.27523
2681,193,-512.0,-500,0,12,0.915,0.41306
2692,194,-501.0,-490,0,11,0.915,0.27521
2704,195,-472.0,-460,0,12,0.914,0.28222
2718,196,-454.0,-440,0,14,0.914,0.23444
2727,197,-479.0,-470,0,9,0.914,0.27921
2737,198,-480.0,-470,0,10,0.913,0.46402
2748,199,-501.0,-490,0,11,0.913,0.32879
2760,200,-502.0,-490,0,12,0.913,0.37218
2779,201,-489.0,-470,0,19,0.912,0.34936
2786,202,-457.0,-450,0,7,0.912,0.07430
2796,203,-490.0,-480,0,10,0.911,0.23343
2808,204,-502.0,-490,0,12,0.911,0.32715
2818,205,-490.0,-480,0,10,0.911,0.28267
2841,206,-483.0,-460,0,23,0.910,0.34959
2852,207,-501.0,-490,0,11,0.910,0.32687
2863,208,-501.0,-490,0,11,0.909,0.14384
2873,209,-490.0,-480,0,10,0.909,0.28025
2883,210,-480.0,-470,0,10,0.909,0.48832
2895,211,-492.0,-480,0,12,0.908,0.32519
2906,212,-491.0,-480,0,11,0.908,0.23405
2915,213,-469.0,-460,0,9,0.908,0.28030
2930,214,-435.0,-420,0,15,0.907,0.17480
2942,215,-502.0,-490,0,12,0.907,0.46390
2954,216,-502.0,-490,0,12,0.906,0.37326
2965,217,-491.0,-480,0,11,0.906,0.37296
2986,218,-441.0,-420,0,21,0.905,0.39140
2996,219,-490.0,-480,0,10,0.905,0.32542
3005,220,-469.0,-460,0,9,0.905,0.00314
3017,221,-512.0,-500,0,12,0.904,0.14075
3029,222,-502.0,-490,0,12,0.904,0.27657
3041,223,-502.0,-490,0,12,0.904,0.41556
3053,224,-502.0,-490,0,12,0.903,0.32200
3065,225,-502.0,-490,0,12,0.903,0.27718
3077,226,-502.0,-490,0,12,0.903,0.50800
3089,227,-482.0,-470,0,12,0.902,0.18735
